index,video_id,title,video_url,thumbnail_file,thumbnail_url,content_type,duration,view_count
49,JZvZgww5Pow,我去看了你們做的關於台灣媒體的梗,https://www.youtube.com/watch?v=JZvZgww5Pow,049_JZvZgww5Pow.jpg,https://i.ytimg.com/vi/JZvZgww5Pow/maxresdefault.jpg,image/jpeg,568.0,
50,loAaNV8kGvk,這些是YouTube全站最紅的15個Shorts？！[重新上傳],https://www.youtube.com/watch?v=loAaNV8kGvk,050_loAaNV8kGvk.jpg,https://i.ytimg.com/vi/loAaNV8kGvk/maxresdefault.jpg,image/jpeg,1191.0,
51,3kDG3nxnM7I,你腦袋想得出圖像嗎？（深呼錫第四季 #015）,https://www.youtube.com/watch?v=3kDG3nxnM7I,051_3kDG3nxnM7I.jpg,https://i.ytimg.com/vi/3kDG3nxnM7I/maxresdefault.jpg,image/jpeg,1745.0,
52,qfpeoKVBa9E,這些錯誤的英文翻譯笑死我了！,https://www.youtube.com/watch?v=qfpeoKVBa9E,052_qfpeoKVBa9E.jpg,https://i.ytimg.com/vi/qfpeoKVBa9E/maxresdefault.jpg,image/jpeg,809.0,
53,4y0xC0xvB3w,《台灣媒體》後續（深呼錫第四季 #014）,https://www.youtube.com/watch?v=4y0xC0xvB3w,053_4y0xC0xvB3w.jpg,https://i.ytimg.com/vi/4y0xC0xvB3w/maxresdefault.jpg,image/jpeg,1604.0,
54,3tfy3yMnS78,台灣媒體的下限能有多低？,https://www.youtube.com/watch?v=3tfy3yMnS78,054_3tfy3yMnS78.jpg,https://i.ytimg.com/vi/3tfy3yMnS78/maxresdefault.jpg,image/jpeg,5150.0,
55,DuUFQDgLD5c,ZZZZZZZZZZ（深呼錫第四季 #013）,https://www.youtube.com/watch?v=DuUFQDgLD5c,055_DuUFQDgLD5c.jpg,https://i.ytimg.com/vi/DuUFQDgLD5c/maxresdefault.jpg,image/jpeg,1684.0,
56,wAlTGD1LZuY,鹿SB（深呼錫第四季 #012）,https://www.youtube.com/watch?v=wAlTGD1LZuY,056_wAlTGD1LZuY.jpg,https://i.ytimg.com/vi/wAlTGD1LZuY/maxresdefault.jpg,image/jpeg,1478.0,
57,Uza8SQN9bgQ,被朋友「PUA」（深呼錫第四季 #011）,https://www.youtube.com/watch?v=Uza8SQN9bgQ,057_Uza8SQN9bgQ.jpg,https://i.ytimg.com/vi/Uza8SQN9bgQ/maxresdefault.jpg,image/jpeg,1431.0,
58,Uan1JG2LL0E,融不進別硬融（深呼錫第四季 #010）,https://www.youtube.com/watch?v=Uan1JG2LL0E,058_Uan1JG2LL0E.jpg,https://i.ytimg.com/vi/Uan1JG2LL0E/maxresdefault.jpg,image/jpeg,2231.0,
59,nHny3opTA9A,學習Naruto（深呼錫第四季 #009）,https://www.youtube.com/watch?v=nHny3opTA9A,059_nHny3opTA9A.jpg,https://i.ytimg.com/vi/nHny3opTA9A/maxresdefault.jpg,image/jpeg,1655.0,
60,axy-BosPC0U,是時候做出這個決定了...,https://www.youtube.com/watch?v=axy-BosPC0U,060_axy-BosPC0U.jpg,https://i.ytimg.com/vi/axy-BosPC0U/maxresdefault.jpg,image/jpeg,1749.0,
61,96t5RwiMeE4,你是自由的（深呼錫第四季 #008）,https://www.youtube.com/watch?v=96t5RwiMeE4,061_96t5RwiMeE4.jpg,https://i.ytimg.com/vi/96t5RwiMeE4/maxresdefault.jpg,image/jpeg,2358.0,
62,ej4VxB326w4,這些PUA頻道遠比你想像的要糟糕！,https://www.youtube.com/watch?v=ej4VxB326w4,062_ej4VxB326w4.jpg,https://i.ytimg.com/vi/ej4VxB326w4/maxresdefault.jpg,image/jpeg,4323.0,
63,aoCmdBbcrWE,我終於達到了一百兆訂閲！,https://www.youtube.com/watch?v=aoCmdBbcrWE,063_aoCmdBbcrWE.jpg,https://i.ytimg.com/vi/aoCmdBbcrWE/maxresdefault.jpg,image/jpeg,906.0,
64,XXJZW_zXYWw,住了6個月後，這些是我對台灣真實的看法,https://www.youtube.com/watch?v=XXJZW_zXYWw,064_XXJZW_zXYWw.jpg,https://i.ytimg.com/vi/XXJZW_zXYWw/maxresdefault.jpg,image/jpeg,1889.0,
65,3V9cPuOYXCk,我搞不懂了，這世上哪來這麼多拜金女？,https://www.youtube.com/watch?v=3V9cPuOYXCk,065_3V9cPuOYXCk.jpg,https://i.ytimg.com/vi/3V9cPuOYXCk/maxresdefault.jpg,image/jpeg,996.0,
66,RHwmAgGVCWg,Joeman犯了一個大錯（7-11聯名商品評測）,https://www.youtube.com/watch?v=RHwmAgGVCWg,066_RHwmAgGVCWg.jpg,https://i.ytimg.com/vi/RHwmAgGVCWg/maxresdefault.jpg,image/jpeg,1044.0,
